genspec,ottName,ottId
eubalaena_australis,Eubalaena australis,699249
balaenoptera_acutorostrata,Balaenoptera acutorostrata,800317
mesoplodon_stejnegeri,Mesoplodon stejnegeri,319467
peponocephala_electra,Peponocephala electra,336234
lagenorhynchus_obliquidens,Lagenorhynchus obliquidens,701489
balaena_mysticetus,Balaena mysticetus,397231
berardius_bairdii,Berardius bairdii,1003906
pseudorca_crassidens,Pseudorca crassidens,209644
eschrichtius_robustus,Eschrichtius robustus,800320
balaenoptera_borealis,Balaenoptera borealis,800329
balaenoptera_borealis,Balaenoptera borealina,3612208
phocoena_phocoena,Phocoena phocoena,851312
mesoplodon_ginkgodens,Mesoplodon ginkgodens,654357
phocoenoides_dalli,Phocoenoides dalli,851304
balaenoptera_physalus,Balaenoptera physalus,226193
grampus_griseus,Grampus griseus,154711
megaptera_novaeangliae,Megaptera novaeangliae,226198
stenella_coeruleoalba,Stenella coeruleoalba,124224
caperea_marginata,Caperea marginata,397243
mesoplodon_bowdoini,Mesoplodon bowdoini,1021373
tursiops_truncatus,Tursiops truncatus,124230
globicephala_macrorhynchus,Globicephala macrorhynchus,535886
globicephala_macrorhynchus,Globiocephala macrorhynchus,3612051
globicephala_macrorhynchus,Globicephala macrorhyncus,3612048
delphinus_delphis,Delphinus delphis,698438
lissodelphis_borealis,Lissodelphis borealis,1093944
cephalorhynchus_heavisidii,Cephalorhynchus heavisidii,860906
cephalorhynchus_heavisidii,Cephalorhyncus heavisidii,5555451
eubalaena_glacialis,Eubalaena glacialis,397247
indopacetus_pacificus,Indopacetus pacificus,575100
lagenorhynchus_acutus,Lagenorhynchus acutus,701486
mesoplodon_hectori,Mesoplodon hectori,319477
steno_bredanensis,Steno bredanensis,593889
orcaella_brevirostris,Orcaella brevirostris,1003911
